#OTU ID	111D	111R	112D	112R	113D	113R	121D	121R	122D	122R	123D	123R	211D	211R	212D	212R	213D	213R	221D	221R	222D	222R	223D	223R	311D	311R	312D	312R	313D	313R	321D	321R	322D	322R	323D	323R	411D	411R	412D	412R	413D	413R	421D	421R	422D	422R	423D	423R	511D	511R	512D	512R	513D	513R	521D	521R	522D	522R	523D	523R	611D	611R	612D	612R	613D	613R	621D	621R	622D	622R	623D	623R
5898bcf6960dca63966d7ad23fa9b9d0fd74a768	0	0	0	0	0	0	74	0	156	17272	0	17	0	12	0	0	0	10	0	77	0	51	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0
75175157a10c7fd5e6bc0e283da2dccd01a54578	0	0	0	253	0	0	178	0	146	2247	0	4658	0	7	0	15	0	5	0	12	0	6	0	8	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	60	331	37	3	0	0	8	2	8	0	0	0	357	140	174	23	0	493	247	219	33	74	11	146
bff999e442d725d50682e60901a3bdb6f3b83630	0	3017	0	0	590	0	0	2	0	0	0	0	21	0	0	0	0	0	0	0	527	0	9	0	0	10	0	0	11	0	137	0	148	0	2135	0	94	192	39	0	111	0	1032	20	41	94	51	0	0	0	0	0	76	23	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	1108	8
4ae7cd433419a3ae60cbbceadb41eab04d665ce1	0	0	43	45	0	731	0	0	0	7	387	5822	0	7	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	689	123	0	0	0	0	0	0	2	0	44	0	134	16
99b68a7dbaae3ab70b092190f91f24dcd9319085	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	217	0	180	0	85	0	283	0	126	63	22	83	0	543	126	199	95	372	69	87	159	793	0	349	906	918	51	0	0	2	0	119	107	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fd2a1998ae3f386d0e155f615ce9b57826e2d437	199	95	50	21	113	182	125	213	409	1021	119	117	0	0	0	0	0	0	0	0	0	6	0	2	0	15	0	30	0	0	0	0	18	23	169	0	5	0	0	0	0	0	155	0	0	47	125	47	111	188	73	38	178	12	16	0	12	48	185	0	0	458	0	60	29	109	13	195	33	0	0	62
f2100dbfc99b33b22102c4d2fc2a05be96e8c2e4	0	268	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	29	22	0	0	0	0	37	0	14	90	0	374	0	57	77	11	293	97	0	30	256	18	0	375	0	170	0	20	1632	0	64	0	0	63	0	0	203	58	0	216	209	0	0	0	0	0	0	0	0	0	0	0	0	15	0
b5e437256ba81cd8988fde21e884028b6ce7a2e5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	42	3635	0	634	0	0	0	0	0	83	0	0
93d47786183f0c786e4f3df7dee20e321a2fc2e2	0	0	0	0	0	0	0	0	0	11	0	0	0	4602	0	0	0	0	0	18	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7c53627870f332e3b80890a8e60079146babcaf2	0	126	0	198	0	0	0	68	0	2028	403	715	0	0	0	0	0	17	0	19	0	15	0	54	0	0	0	0	16	0	0	0	0	0	553	0	0	0	0	23	0	0	0	0	0	55	0	0	74	0	0	0	0	0	0	19	0	0	0	0	0	46	0	15	0	0	19	0	55	56	23	0
05951bcaa6064904eb1333ee6761b8c4dfe142c4	0	1823	0	0	1057	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	23	0	0	0	37	0	49	0	1234	0	33	0	41	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0
88bf2bd8f109bd01b96bcbf9d5c2b80d64d7ccd7	0	0	0	0	0	0	0	0	0	4221	0	0	0	0	0	0	0	0	0	10	0	4	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c7c6fd1422977a04ad6a31a7f99d81eb05a94fa2	0	1990	0	0	1881	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0
a4f2b1164483aef2ffa853aa9911a21e7a9992ee	0	0	0	0	0	0	0	0	0	6	0	3885	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11f45e73d6144cc89efde8de7bbf82f3ce215f1a	0	0	0	0	0	0	0	0	0	0	0	0	408	78	0	37	160	0	62	0	0	96	0	0	0	582	0	0	133	0	0	0	58	0	639	0	735	0	147	0	177	0	143	0	0	0	0	0	0	0	169	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141a0a1452ac00be1858cc5af7f7a0b94b8d80b9	0	19	0	24	77	12	0	0	0	29	0	37	10	125	0	61	15	39	0	57	111	0	26	96	83	178	0	135	136	77	18	0	44	0	617	32	316	30	93	87	44	282	71	24	92	192	21	0	69	63	17	11	0	0	10	0	30	0	0	0	0	0	0	0	0	38	8	68	0	0	0	0
916f5d67394c3626987119d92dc757fd73968a68	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	167	0	0	10	0	0	0	0	14	0	0	9	11	273	53	0	68	0	57	10	2391	0	61	0	134	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8244d4ceb2fe7ad9b40098b0fb78fdddd773dc0a	8	0	346	0	0	0	150	6	0	0	67	685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	4	0	0	732	0	77	248	0	653	0	142	123	65	87
b9ec1a3ff97352562ca2a98c5c609dcda32466e4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3290	0	0	0	0	0	14	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f5856d4688115b5f1e0bce532faf65fe5db0b348	40	0	0	0	18	0	0	0	0	0	0	0	0	81	22	0	0	0	0	87	293	0	0	208	143	222	0	84	32	0	95	0	17	0	259	17	59	62	77	0	115	281	0	175	209	244	16	334	0	0	0	0	44	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2a02fdbbe989e3512a206fdaf7366df4b69123ca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	48	0	0	8	0	137	27	116	0	187	0	0	404	0	0	0	120	73	682	11	4	177	9	0	7	47	75	0	0	0	0	87	289	0	791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49dc80ce6a8c1359e3b7190591088274266b71ff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3216	0	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9c2324a1065f2d13286d29b007c34d4f1a209cd7	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	35	0	0	0	0	29	62	0	0	0	0	36	316	0	0	0	0	29	0	428	0	853	0	231	0	23	33	107	0	47	0	69	405	0	0	113	0	31	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b8186d42bab3228e84591b0519e6e58641636aad	36	56	0	17	79	26	6	22	40	99	17	12	40	94	29	12	24	86	6	32	81	15	12	70	37	36	13	8	28	29	23	14	18	41	90	19	181	32	59	66	63	104	123	26	315	127	108	42	42	36	12	9	52	31	22	20	0	61	26	8	9	18	5	0	36	19	8	19	3	15	0	14
cf65c21df7ea0f94563962e5b59290b7d332f553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	655	0	0	0	0	9	0	31	17	0	0	0	1728	0	339	0	0	0	137	0	38	0	0
274a10d09189c26fdc4c6b6be39a61275b3ede47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1979	0	548	56	0	0	5	0	323	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
be5255f9fb42b64df755d7ac2a169e1da5073d48	23	20	37	46	0	36	7	8	7	120	18	62	0	257	0	0	14	0	11	0	36	17	9	0	79	0	0	10	66	0	0	0	0	0	68	34	95	95	0	18	78	24	0	20	47	21	0	32	94	84	20	69	26	18	7	0	42	141	22	0	17	142	90	30	66	215	15	151	35	73	19	61
ff27ed0e2e46d56f63c2fd720690666aa71b2133	0	0	0	0	0	0	0	0	0	3	0	0	567	0	162	6	1600	167	0	104	0	0	0	225	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b4ae08336ccf96af74347f34ac4ec3b866b008bb	18	44	4	15	58	18	0	15	0	43	52	7	42	146	0	55	33	135	0	80	40	21	17	100	9	85	0	0	30	42	19	0	17	5	212	21	158	59	109	130	52	351	17	26	236	115	54	14	0	0	3	0	23	7	0	5	6	5	13	0	0	0	0	0	0	0	0	0	0	0	5	0
71b7b9c776d8ee171e30c20e792eac863d24f434	0	591	0	89	485	0	0	79	56	0	52	111	0	0	0	29	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	109	0	54	132	0	69	58	0	0	0	0	0	0	0	22	0	31	99	82	29	0	0	0	95	78	0	0	0	0	0	8	0	27	60	17	63	55	103
738a4274ff903f2b768e69e7e6689a7eba4e0f07	39	46	8	15	66	61	0	6	15	54	23	23	42	74	21	23	25	86	7	38	53	20	14	33	52	53	40	10	59	26	84	10	28	17	152	21	140	60	32	34	59	111	40	26	53	50	20	23	18	36	17	10	139	58	14	20	16	125	59	18	8	37	6	0	25	10	4	18	10	40	0	44
f79b923e7741c47703586c2f2cd46e3483afc55a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2384	0	264	0	0	0	0	0	65	0	2
059d855d9eacc8f6ae48b8175ad617b3c5738766	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	423	0	199	0	0	0	0	0	0	1250	3	166	8	133	291	21	0	14	0	12	0	14	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58a832c35c738f97c3531049e8025ab462f7397b	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	9	0	0	0	157	29	0	0	0	168	358	60	0	0	18	0	19	0	100	0	1273	0	21	0	0	0	23	162	47	27	149	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01c082dbfb87bd9becba7585eb9e676425ef163b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	47	0	41	27	18	0	94	0	31	0	85	0	2259	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9c909b123d7e5080b1b89c7221de775e616d4543	1290	0	0	306	0	391	0	70	0	287	0	0	0	0	5	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	69	45
9c6ca485fa7c57f433c6e34166fbd60be6674a65	0	44	0	0	35	0	0	0	0	0	0	23	26	284	38	32	0	24	15	30	88	33	23	114	29	64	22	0	29	0	80	0	16	32	192	39	153	73	47	87	105	11	0	20	210	23	24	0	0	54	21	55	40	21	4	0	28	24	12	0	0	0	50	0	0	69	0	17	36	33	17	0
c424f78559e0de6e2e83fb2747bc117f5dd5b825	356	12	276	570	23	0	6	114	12	86	91	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	562	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	2	0	0	0
2118335e8196f24b78b042a76559f6cca1b9d589	0	0	0	0	0	39	27	0	0	520	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	130	0	0	217	0	0	0	0	0	344	0	658	0	108	113	53	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
08cd13d5b3e81ad61281e56d8883c42619f9cba4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	30	14	27	1272	860	0	0	0	0	0	0	0	0	98	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63cb1c551066d0d1466fd468c4bde9493e74339e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2389	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
28bdc0db39e2ad9a42020d76d1db769deb8d6158	59	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	714	0	0	0	48	0	0	0	0	0	0	38	6	0	45	0	9	0	0	0	0	195	0	0	338	363	8	0	0	44	0	2	44	15	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
536fb1f4037af6d44806970697e2196dc8f0dd98	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	16	422	0	3	0	22	0	0	0	0	171	0	0	0	0	60	0	0	9	27	0	0	0	0	73	769	0	0	57	0	0	0	0	0	0	0	0	0	0	3	31	450	35	0	0	0	0	0	0	0	0	71	41	0	0	9
26c5bb9c13f37d5684f82bfc89060e8c3ba6a0a4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	4	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	3	0	1594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	192	0	0
53b31fcc77d66f721cd29f0490b72ec5ee50df41	0	0	0	0	112	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	47	0	114	0	26	0	0	0	0	27	0	0	22	38	25	238	88	0	628	0	12	25	0	0	7	102	6	0	84	0	186	0	0	0	0	142	256	39	8	0	0	0	0	0	0	0	0	0	0	0
626ae9aa5af3c2f120a0452af8c22a4a02c9c0fc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2002	0	48	0	32	0	30	0	31	0	30	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
756cd2adc9e0cb8657c71c16cb83e022924f3f50	237	0	86	436	0	667	30	0	0	497	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	20	0	0
8a41f2ae1f5df8da150bc5e51950bbf320f56235	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	173	0	0	0	0	792	0	0	0	0	0	0	0	25	299	0	0	0	0	10	0	8	7	198	0	0	0	0	0	8	222	3	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
