#OTU ID	111D	111R	112D	112R	113D	113R	121D	121R	122D	122R	123D	123R	211D	211R	212D	212R	213D	213R	221D	221R	222D	222R	223D	223R	311D	311R	312D	312R	313D	313R	321D	321R	322D	322R	323D	323R	411D	411R	412D	412R	413D	413R	421D	421R	422D	422R	423D	423R	511D	511R	512D	512R	513D	513R	521D	521R	522D	522R	523D	523R	611D	611R	612D	612R	613D	613R	621D	621R	622D	622R	623D	623R
b52521fc93607b1e568f1ef2c692eb77656b97c9	0	0	0	0	0	0	0	0	0	7776	0	0	0	0	0	0	0	0	0	59	0	34	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0
d3c3271b21f5c72af45a03ecd1d30fdfa033e084	0	2436	0	0	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	0	0	0	0	9	0	0	0	0	119	0	0	0	1764	0	73	159	32	0	95	0	836	18	0	68	40	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	897	8
b98bcfc8762712398d8938f0b006376e5fb0b655	0	0	0	174	0	0	123	0	96	1631	0	1161	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	138	28	0	0	0	0	0	5	0	0	0	266	88	112	13	0	355	163	137	18	52	6	96
10020fd4036778cec1b63d862114eea35c31d693	0	0	0	0	0	0	53	0	0	4640	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99b68a7dbaae3ab70b092190f91f24dcd9319085	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	135	0	118	0	0	0	217	0	99	41	16	58	0	378	98	149	75	250	49	57	118	553	0	258	637	694	34	0	0	0	0	85	84	14	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8169ca098bb679d88825255cabe02edaa26255fa	0	0	0	23	0	422	0	0	0	0	249	2718	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	331	81	0	0	0	0	0	0	0	0	0	0	72	0
4a15395260265d1a74a0611d5f981a7deac7c436	0	1581	0	0	1586	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0
93d47786183f0c786e4f3df7dee20e321a2fc2e2	0	0	0	0	0	0	0	0	0	0	0	0	0	3129	0	0	0	0	0	15	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45a7739139caa3a38ae8ddf369612a6cc84350c9	0	0	0	0	0	0	0	0	0	2822	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6a462d3918735114935d52ed2712ae5d6b14d41d	0	57	31	0	83	121	74	151	211	496	75	80	0	0	0	0	0	0	0	0	0	5	0	0	0	8	0	20	0	0	0	0	0	0	111	0	0	0	0	0	0	0	107	0	0	32	79	0	80	137	43	0	0	0	10	0	9	36	120	0	0	309	0	38	17	73	7	134	0	0	0	64
f0b6620f9f611c5ae67774700ff5167086214aa5	0	1093	0	0	681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	26	0	0	0	18	0	33	0	832	0	19	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0
b5e437256ba81cd8988fde21e884028b6ce7a2e5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	2133	0	370	0	0	0	0	0	44	0	0
11f45e73d6144cc89efde8de7bbf82f3ce215f1a	0	0	0	0	0	0	0	0	0	0	0	0	279	56	0	38	115	0	46	0	0	62	0	0	0	398	0	0	107	0	0	0	0	0	439	0	462	0	102	0	106	0	94	0	291	0	0	0	0	0	115	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8892b45ae97d9b52d1b86ad11504005c960330af	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	137	0	0	0	0	0	0	0	14	0	0	0	7	204	41	0	49	0	40	8	1822	0	50	0	95	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
