Feature ID	Taxon
b52521fc93607b1e568f1ef2c692eb77656b97c9	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;NA
d3c3271b21f5c72af45a03ecd1d30fdfa033e084	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrophorus;s__roseobrunneus
b98bcfc8762712398d8938f0b006376e5fb0b655	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;NA
10020fd4036778cec1b63d862114eea35c31d693	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;NA
99b68a7dbaae3ab70b092190f91f24dcd9319085	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__garyensis
8169ca098bb679d88825255cabe02edaa26255fa	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__subdensifolia
4a15395260265d1a74a0611d5f981a7deac7c436	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma;s__equestre
93d47786183f0c786e4f3df7dee20e321a2fc2e2	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Bankeraceae;g__Hydnellum;s__spongiosipes
45a7739139caa3a38ae8ddf369612a6cc84350c9	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__nigrellus
6a462d3918735114935d52ed2712ae5d6b14d41d	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Wilcoxina;s__rehmii
f0b6620f9f611c5ae67774700ff5167086214aa5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__duracinus
b5e437256ba81cd8988fde21e884028b6ce7a2e5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__olivobrunnea
11f45e73d6144cc89efde8de7bbf82f3ce215f1a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;NA
8892b45ae97d9b52d1b86ad11504005c960330af	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;NA
9db591cfaf2ce8bc8ab75a1072a0b7bf16b40d89	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;NA
2a02fdbbe989e3512a206fdaf7366df4b69123ca	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__pelargonia
08cd13d5b3e81ad61281e56d8883c42619f9cba4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellaceae;g__Cantharellaceae_gen_Incertae_sedis;NA
0adb349d9e9a8741181a0898b4da82e3f1a08eeb	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Bankeraceae;g__Hydnellum;s__concrescens
cff1c593856278e585b47e5f289e135ecd5a384d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__lakhanpalii
